Huffman Codes are:
12/10 : 01000101000110111111100011111111111100000001000001000011100
13/3 : 010001010001101111111000111111111111000000010000010000111010
13/6 : 0100010100011011111110001111111111110000000100000100001110110
13/9 : 01000101000110111111100011111111111100000001000001000011101110
14/3 : 010001010001101111111000111111111111000000010000010000111011110
0/7 : 01000101000110111111100011111111111100000001000001000011101111100000
2/4 : 01000101000110111111100011111111111100000001000001000011101111100001
15/8 : 0100010100011011111110001111111111110000000100000100001110111110001
15/4 : 010001010001101111111000111111111111000000010000010000111011111001
14/10 : 01000101000110111111100011111111111100000001000001000011101111101
14/6 : 0100010100011011111110001111111111110000000100000100001110111111
11/10 : 0100010100011011111110001111111111110000000100000100001111
5/7 : 010001010001101111111000111111111111000000010000010001
11/5 : 010001010001101111111000111111111111000000010000010010
11/4 : 010001010001101111111000111111111111000000010000010011
10/8 : 0100010100011011111110001111111111110000000100000101
10/5 : 010001010001101111111000111111111111000000010000011
2/5 : 01000101000110111111100011111111111100000001000010
2/6 : 01000101000110111111100011111111111100000001000011
10/4 : 010001010001101111111000111111111111000000010001
9/9 : 0100010100011011111110001111111111110000000100100
2/7 : 01000101000110111111100011111111111100000001001010
5/5 : 01000101000110111111100011111111111100000001001011
9/5 : 010001010001101111111000111111111111000000010011
4/8 : 0100010100011011111110001111111111110000000101
8/5 : 010001010001101111111000111111111111000000011
7/8 : 0100010100011011111110001111111111110000001
7/4 : 010001010001101111111000111111111111000001
6/10 : 01000101000110111111100011111111111100001
13/2 : 0100010100011011111110001111111111110001
4/10 : 010001010001101111111000111111111111001000000
10/2 : 010001010001101111111000111111111111001000001
9/10 : 01000101000110111111100011111111111100100001
15/10 : 0100010100011011111110001111111111110010001
7/6 : 010001010001101111111000111111111111001001
14/4 : 01000101000110111111100011111111111100101
6/8 : 0100010100011011111110001111111111110011
5/2 : 01000101000110111111100011111111111101000000000
5/3 : 01000101000110111111100011111111111101000000001
9/4 : 0100010100011011111110001111111111110100000001
8/10 : 010001010001101111111000111111111111010000001
8/7 : 01000101000110111111100011111111111101000001
8/3 : 0100010100011011111110001111111111110100001
7/9 : 010001010001101111111000111111111111010001
7/5 : 01000101000110111111100011111111111101001
14/2 : 0100010100011011111110001111111111110101
6/7 : 010001010001101111111000111111111111011
4/9 : 01000101000110111111100011111111111110000000
9/8 : 01000101000110111111100011111111111110000001
7/7 : 0100010100011011111110001111111111111000001
7/3 : 010001010001101111111000111111111111100001
6/9 : 01000101000110111111100011111111111110001
6/5 : 0100010100011011111110001111111111111001
12/8 : 010001010001101111111000111111111111101
9/6 : 01000101000110111111100011111111111111
0/9 : 010001010001101111111001
1/9 : 01000101000110111111101
10/1 : 01000101000111
9/1 : 010001010010
11/1 : 0100010100110
6/2 : 0100010100111
7/1 : 0100010101
3/2 : 01000101100
8/1 : 01000101101
1/4 : 0100010111
3/1 : 0100011
1/2 : 01001
0/5 : 0101
0/1 : 01100
2/1 : 01101
1/1 : 0111
0/3 : 10
0/2 : 11

The encoded string is:
